SPECIES,WILDLIFE_TYPE,records
Redwing,Other wildlife,2
Checkered garter snake,Reptile,2
River otter,Other wildlife,2
Pin-tailed snipe,Other wildlife,2
Eastern small-footed myotis,Bird,2
Eurasian curlew,Other wildlife,2
Morelet's seedeater,Other wildlife,2
White-winged tern,Bird,2
Long-tailed weasel,Other wildlife,2
"Longspurs, snow buntings",Other wildlife,2
Loons,Other wildlife,2
Milk snake,Reptile,2
Rook,Other wildlife,2
Canada jay,Other wildlife,2
Emperor goose,Bird,2
Rock sandpiper,Bird,2
Egyptian goose,Bird,2
Red-crowned amazon,Other wildlife,2
Bushtit,Other wildlife,2
California kingsnake,Reptile,2
Australian pelican,Bird,1
Axis deer,Terrestrial mammal,1
White-tufted grebe,Other wildlife,1
White-winged swallow,Bird,1
Whooping crane,Bird,1
Wilson/Common snipe complex,Other wildlife,1
Wood sandpiper,Bird,1
Wrentit,Other wildlife,1
Gray heron,Bird,1
Gray vireo,Other wildlife,1
Gray-crowned rosy-finch,Other wildlife,1
White stork,Other wildlife,1
White-bellied sea-eagle,Bird,1
White-nosed coati,Other wildlife,1
Alpine swift,Other wildlife,1
Yellow-browed warbler,Other wildlife,1
Yellow-chevroned parakeet,Other wildlife,1
Yellow-headed caracara,Other wildlife,1
African yellow bat,Bat,1
Antillean fruit-eating bat,Bat,1
Chihuahuan meadowlark,Bird,1
Clark's nutcracker,Bird,1
Common cuckoo,Other wildlife,1
Roseate tern,Bird,1
Ruddy ground dove,Bird,1
Sabine's gull,Bird,1
California quail,Other wildlife,1
Cape serotine,Other wildlife,1
Caribbean martin,Other wildlife,1
Sharp-tailed sandpiper,Bird,1
Shearwaters,Other wildlife,1
Siberian sand-plover,Other wildlife,1
Sinaloan mastiff bat,Bat,1
Snowshoe hare,Terrestrial mammal,1
Red-headed woodpecker,Other wildlife,1
Red-legged kittiwake,Other wildlife,1
Red-legged partridge,Other wildlife,1
Red-necked stint,Other wildlife,1
Red-wattled lapwing,Other wildlife,1
River cooter,Other wildlife,1
Rose-ringed parakeet,Other wildlife,1
Cerulean warbler,Other wildlife,1
Chickadees,Other wildlife,1
Chicken turtle,Reptile,1
Pileated woodpecker,Other wildlife,1
Pine grosbeak,Other wildlife,1
Piute ground squirrel,Terrestrial mammal,1
Purple sandpiper,Bird,1
Pygmy nuthatch,Other wildlife,1
Rainbow lorikeet,Other wildlife,1
Common murre,Other wildlife,1
Common ringed plover,Other wildlife,1
Corn crake,Other wildlife,1
Pearly-eyed thrasher,Other wildlife,1
Perching birds (z),Bird,1
Pheasants,Other wildlife,1
Philippine duck,Bird,1
Picazuro pigeon,Bird,1
Pigeon guillemot,Bird,1
Sooty mustached bat,Bat,1
South American snipe,Other wildlife,1
Speckled pigeon,Bird,1
Spectacled caiman,Other wildlife,1
Spotted flycatcher,Terrestrial mammal,1
Spruce grouse,Other wildlife,1
Spur-winged lapwing,Other wildlife,1
Storm-petrels,Other wildlife,1
Surfbird,Bird,1
Blue-tailed bee-eater,Other wildlife,1
Northern fulmar,Other wildlife,1
Northern gannet,Other wildlife,1
Northern lapwing,Other wildlife,1
Northern map turtle,Reptile,1
Northern pygmy-owl,Bird,1
Olivaceous elaenia,Other wildlife,1
Olive-throated parakeet,Other wildlife,1
Mountain cottontail,Other wildlife,1
